evaluation file,batch job id
evaluation/religion_ambiguous_fill_blank_gpt3-5.jsonl,batch_yKZ05HEWJn1a0Eq19YUThvga
evaluation/race_x_ses_ambiguous_fill_blank_gpt3-5.jsonl,batch_trjaM8j4VNzIW0aM5T6oqwSw
evaluation/race_ethnicity_ambiguous_short_answer_gpt3-5.jsonl,batch_ccvUKcqPhlQ2J9Gifp9l0hIA
evaluation/sexual_orientation_ambiguous_fill_blank_gpt3-5.jsonl,batch_HxJEAXGzCmTlvyKLHPXs0rqo
evaluation/sexual_orientation_ambiguous_short_answer_gpt3-5.jsonl,batch_zCR49Lj8dDNgUF2y7bEwqByd
evaluation/ses_ambiguous_short_answer_gpt3-5.jsonl,batch_iMBQNoMXYtOkovTi5KMXW6Ts
evaluation/nationality_disambiguated_short_answer_gpt3-5.jsonl,batch_SSLetLGTtFkCGFhSAgxZUftg
evaluation/gender_identity_disambiguated_fill_blank_gpt3-5.jsonl,batch_KOY7n0KdLw1L0iMMeQeEMFef
evaluation/race_ethnicity_ambiguous_fill_blank_gpt3-5.jsonl,batch_BAz7ZBmWcTyMVMx3wun4PNUa
evaluation/sexual_orientation_disambiguated_fill_blank_gpt3-5.jsonl,batch_a7ASNzmEZvoqZDxRfE7GHHcx
evaluation/disability_status_disambiguated_short_answer_gpt3-5.jsonl,batch_p30qGfG4sz8nZHgqJzIEbrnz
evaluation/physical_appearance_ambiguous_fill_blank_gpt3-5.jsonl,batch_09kK1x6YaeJxXVVM7JBgBSdu
evaluation/ses_disambiguated_short_answer_gpt3-5.jsonl,batch_QjqDGowrDRKH0L4NhAESAldX
evaluation/physical_appearance_ambiguous_short_answer_gpt3-5.jsonl,batch_LJxAKbn1LZr3rkgIOk0Xsbdj
evaluation/race_x_gender_ambiguous_short_answer_gpt3-5.jsonl,batch_bSMoIYFawC9d5usT0LIxrZGT
evaluation/age_disambiguated_fill_blank_gpt3-5.jsonl,batch_zZgmQGVTkp6p9mha06MMvapn
evaluation/ses_disambiguated_fill_blank_gpt3-5.jsonl,batch_sq7kSDIT2Zb4HRj3Ykw65ATI
evaluation/age_ambiguous_fill_blank_gpt3-5.jsonl,batch_emIXXepGEzEUsnayrq7NBfRI
evaluation/disability_status_ambiguous_fill_blank_gpt3-5.jsonl,batch_nS0DN2pA4c4dImF0LBKmAfC7
evaluation/physical_appearance_disambiguated_short_answer_gpt3-5.jsonl,batch_bz3SPlwCC8aa4my4I2f3MQqe
evaluation/race_x_gender_disambiguated_fill_blank_gpt3-5.jsonl,batch_kNl42aOW09Mx8Yzs5bXVTUTw
evaluation/gender_identity_ambiguous_fill_blank_gpt3-5.jsonl,batch_q0XAT31n3VyLZuPMJ7nR2QQw
evaluation/race_x_gender_disambiguated_short_answer_gpt3-5.jsonl,batch_DBzcttK58fb0XZa89uCAPWLn
evaluation/physical_appearance_disambiguated_fill_blank_gpt3-5.jsonl,batch_9V2bRNX4LhxKc1bAjtQl6jGb
evaluation/age_disambiguated_short_answer_gpt3-5.jsonl,batch_JfQEMmFnEzjgeUlImm71UOlK
evaluation/race_ethnicity_disambiguated_fill_blank_gpt3-5.jsonl,batch_pWZejblT9iN3iNV2w7nXoHzB
evaluation/ses_disambiguated_short_answer_gpt4o.jsonl,batch_HrAvXVrproJVcxCvQ0nvLkbW
evaluation/age_ambiguous_fill_blank_gpt4o.jsonl,batch_Yw7u0iFVETYbcIZD5cO9xYPA
evaluation/race_x_ses_ambiguous_short_answer_gpt4o.jsonl,batch_ek6fVjLklovbQH2btRQa3p2l
evaluation/physical_appearance_disambiguated_short_answer_gpt4o.jsonl,batch_Cvxt6SZv3U1ANkGQ9IHicO1G
evaluation/physical_appearance_ambiguous_fill_blank_gpt4o.jsonl,batch_2tvPzHTae7lsFKE7DHLFIvaY
evaluation/race_ethnicity_ambiguous_short_answer_gpt4o.jsonl,batch_OLYSKEcaaGuUYbhLuwz6WMCf
evaluation/ses_ambiguous_short_answer_gpt4o.jsonl,batch_CteHZrPqq8byOf9yEiACMypB
evaluation/race_ethnicity_disambiguated_fill_blank_gpt4o.jsonl,batch_l2es96xQjyuJbGPwChDJ4xZX
evaluation/ses_ambiguous_fill_blank_gpt4o.jsonl,batch_HF13vLC2AlgZmz7fsJj9YhB3
evaluation/sexual_orientation_ambiguous_short_answer_gpt4o.jsonl,batch_EUjcrDn2JgeSWubpGbWaqkJW
evaluation/nationality_disambiguated_fill_blank_gpt4o.jsonl,batch_SV7t6LzEhnAfXG1jrMAtgOwF
evaluation/age_ambiguous_short_answer_gpt4o.jsonl,batch_1EWLgq3GedyZReRCqDk40FWK
evaluation/disability_status_ambiguous_fill_blank_gpt4o.jsonl,batch_vDxRPr4rFwPjbCodUGiDlJHM
evaluation/race_x_ses_disambiguated_short_answer_gpt4o.jsonl,batch_sCWHJofObRAjhKZXl1FMZteM
evaluation/disability_status_ambiguous_short_answer_gpt4o.jsonl,batch_HHgzGd9tPszpbj1JujCWLdag
evaluation/race_x_ses_disambiguated_fill_blank_gpt4o.jsonl,batch_4t0zfXPvT53CJSrWM8qdQ5BK
evaluation/religion_disambiguated_short_answer_gpt4o.jsonl,batch_Sd2KFJFv5JAVAWgcAzzW2wv4
evaluation/nationality_ambiguous_fill_blank_gpt4o.jsonl,batch_tFg7WLmiapMnTJhvn4ITnW5W
evaluation/gender_identity_ambiguous_short_answer_gpt4o.jsonl,batch_oJ9LwS8KAsunmvhvibf327VK
evaluation/disability_status_disambiguated_short_answer_gpt4o.jsonl,batch_xXviUuydhN3uCCWog5BWSd2c
evaluation/race_ethnicity_disambiguated_short_answer_gpt4o.jsonl,batch_HCiK0fd6wfrOQ71ybxBee2Im
evaluation/sexual_orientation_ambiguous_fill_blank_gpt4o.jsonl,batch_DUFhbzHkN4FeGLuBnbxpYS0x
evaluation/physical_appearance_ambiguous_short_answer_gpt4o.jsonl,batch_WtbHMB2dkP81aDi2MtwqFTdh
evaluation/race_x_ses_ambiguous_fill_blank_gpt4o.jsonl,batch_kBBRMPoBCjwVm7NNJFNH0XqA
evaluation/gender_identity_ambiguous_fill_blank_gpt4o.jsonl,batch_EAMnnDIxAV09DwhKs3WUvz4S
evaluation/race_ethnicity_ambiguous_fill_blank_gpt4o.jsonl,batch_keHakT424qvNGjXgg4N4WSzU
evaluation/disability_status_disambiguated_fill_blank_gpt4o.jsonl,batch_AZ1s1GPqnfGJQIaKLoBJcW3l
evaluation/ses_disambiguated_fill_blank_gpt4o.jsonl,batch_ouNnIHUscYuDIZzsV4esVKPj
evaluation/age_disambiguated_short_answer_gpt4o.jsonl,batch_BgSv6nKtYGqVGwQkERNDwU73
evaluation/religion_ambiguous_short_answer_gpt4o.jsonl,batch_eXNJK4YyTvDQwxNbiIGGvfko
evaluation/nationality_disambiguated_short_answer_gpt4o.jsonl,batch_rBO3mlgSLLulPl842tqn3Kfa
evaluation/physical_appearance_disambiguated_fill_blank_gpt4o.jsonl,batch_GvZEfBjsTgOj8jVpNdSW6iuj
evaluation/gender_identity_disambiguated_short_answer_gpt4o.jsonl,batch_NIeQNrUnFqFaVXGWXfT88Eja
evaluation/gender_identity_disambiguated_fill_blank_gpt4o.jsonl,batch_xiIQPEXhIeEZoVZBoZbKYHZi
evaluation/religion_ambiguous_fill_blank_gpt4o.jsonl,batch_AozEeWuMMl73dXAcVI2E11dI
evaluation/sexual_orientation_disambiguated_fill_blank_gpt4o.jsonl,batch_QONbEmeAVRqFQTvXB85SNG1L
evaluation/sexual_orientation_disambiguated_short_answer_gpt4o.jsonl,batch_NfU641Dp6APXdo6lnnESkxKy
evaluation/religion_disambiguated_fill_blank_gpt4o.jsonl,batch_2e0xICzxx7qtsWTEANIta0ny
evaluation/nationality_ambiguous_short_answer_gpt4o.jsonl,batch_XTRbuYNvqgBrSmUXyYq9cvR3
evaluation/age_disambiguated_fill_blank_gpt4o.jsonl,batch_fILRLwo02wqYDut17HOmlftT
evaluation/race_x_gender_ambiguous_fill_blank_gpt4o.jsonl,batch_8XiV5Nsh0FRanAzR2MzvMrjX
evaluation/race_x_gender_disambiguated_short_answer_gpt4o.jsonl,batch_5uflGkiVBllwJYqH58UpA201
evaluation/race_x_gender_disambiguated_fill_blank_gpt4o.jsonl,batch_eKzVIeehvCLyXa5pdGbi9xAZ
evaluation/race_x_gender_ambiguous_short_answer_gpt4o.jsonl,batch_gGnsCCm6SSC5cMMYeQqacZNc
